#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP030238.1	1	1401	+		dnaA	CHD23_RS00005	WP_114049433.1	466	chromosomal replication initiator protein DnaA
chromosome	NZ_CP030238.1	1406	2506	+		dnaN	CHD23_RS00010	WP_000673475.1	366	DNA polymerase III subunit beta
chromosome	NZ_CP030238.1	2655	3728	+		recF	CHD23_RS00015	WP_000060084.1	357	DNA replication/repair protein RecF
chromosome	NZ_CP030238.1	3757	6171	+		gyrB	CHD23_RS00020	WP_000072045.1	804	DNA topoisomerase (ATP-hydrolyzing) subunit B
chromosome	NZ_CP030238.1	6253	6585	-			CHD23_RS00025	WP_000497808.1	110	cupin domain-containing protein
chromosome	NZ_CP030238.1	6585	8534	-			CHD23_RS00030	WP_114049434.1	649	heparinase II/III family protein
chromosome	NZ_CP030238.1	8545	9768	-			CHD23_RS00035	WP_000649837.1	407	alginate lyase family protein
chromosome	NZ_CP030238.1	9783	10481	-			CHD23_RS00040	WP_001043844.1	232	porin
chromosome	NZ_CP030238.1	10512	11768	-			CHD23_RS00045	WP_024134877.1	418	MFS transporter
chromosome	NZ_CP030238.1	12323	13135	+		yidA	CHD23_RS00055	WP_000985582.1	270	sugar-phosphatase
chromosome	NZ_CP030238.1	13336	14361	+			CHD23_RS00060	WP_079807729.1	341	hypothetical protein
chromosome	NZ_CP030238.1	14358	15497	+			CHD23_RS00065	WP_002954740.1	379	BamA/TamA family outer membrane protein
chromosome	NZ_CP030238.1	15494	16627	+			CHD23_RS00070	WP_079807727.1	377	DUF4056 domain-containing protein
chromosome	NZ_CP030238.1	16758	19493	-		torS	CHD23_RS00075	WP_071650828.1	911	TMAO reductase system sensor histidine kinase/response regulator TorS
chromosome	NZ_CP030238.1	19573	20613	+		torT	CHD23_RS00080	WP_001202015.1	346	TMAO reductase system periplasmic protein TorT
chromosome	NZ_CP030238.1	20586	21278	-		torR	CHD23_RS00085	WP_023186025.1	230	two-component system response regulator TorR
chromosome	NZ_CP030238.1	21408	22592	+		torC	CHD23_RS00090	WP_001230249.1	394	pentaheme c-type cytochrome TorC
chromosome	NZ_CP030238.1	22582	25134	+		torA	CHD23_RS00095	WP_002954737.1	850	trimethylamine-N-oxide reductase TorA
chromosome	NZ_CP030238.1	25127	25759	+		torD	CHD23_RS00100	WP_000595050.1	210	molecular chaperone TorD
chromosome	NZ_CP030238.1	25949	27349	+			CHD23_RS00105	WP_000724464.1	466	cytochrome-c peroxidase
chromosome	NZ_CP030238.1	27355	27972	+		ccmA	CHD23_RS00110	WP_000888555.1	205	cytochrome c biogenesis heme-transporting ATPase CcmA
chromosome	NZ_CP030238.1	27969	28628	+		ccmB	CHD23_RS00115	WP_023186029.1	219	heme exporter protein CcmB
chromosome	NZ_CP030238.1	28669	29406	+			CHD23_RS00120	WP_114049436.1	245	heme ABC transporter permease
chromosome	NZ_CP030238.1	29403	29615	+		ccmD	CHD23_RS00125	WP_001258295.1	70	heme exporter protein CcmD
chromosome	NZ_CP030238.1	29612	30091	+		ccmE	CHD23_RS00130	WP_001053611.1	159	cytochrome c maturation protein CcmE
chromosome	NZ_CP030238.1	30088	32031	+			CHD23_RS00135	WP_000982534.1	647	heme lyase CcmF/NrfE family subunit
chromosome	NZ_CP030238.1	32028	32585	+		dsbE	CHD23_RS00140	WP_000828290.1	185	thiol:disulfide interchange protein DsbE
chromosome	NZ_CP030238.1	32582	33619	+			CHD23_RS00145	WP_001211831.1	345	cytochrome c-type biogenesis protein CcmH
chromosome	NZ_CP030238.1	33779	35005	+			CHD23_RS00150	WP_071650879.1	408	DUF3748 domain-containing protein
chromosome	NZ_CP030238.1	35007	35339	-			CHD23_RS00155	WP_071650878.1	110	YceK/YidQ family lipoprotein
chromosome	NZ_CP030238.1	35648	36061	+		ibpA	CHD23_RS00165	WP_023186035.1	137	heat shock chaperone IbpA
chromosome	NZ_CP030238.1	36170	36598	+		ibpB	CHD23_RS00170	WP_001246920.1	142	MULTISPECIES: heat shock chaperone IbpB
chromosome	NZ_CP030238.1	36934	38595	+			CHD23_RS00180	WP_001279779.1	553	putative transporter
chromosome	NZ_CP030238.1	38987	39334	+			CHD23_RS00185	WP_000703962.1	115	YidH family protein
chromosome	NZ_CP030238.1	39324	39686	+			CHD23_RS00190	WP_114049438.1	120	DUF202 domain-containing protein
chromosome	NZ_CP030238.1	39683	40213	+			CHD23_RS00195	WP_114049439.1	176	radical SAM protein
chromosome	NZ_CP030238.1	40559	41644	+			CHD23_RS00200	WP_114049440.1	361	cellulase family glycosylhydrolase
chromosome	NZ_CP030238.1	41571	42755	-		emrD	CHD23_RS00205	WP_000828754.1	394	multidrug efflux MFS transporter EmrD
chromosome	NZ_CP030238.1	42958	43818	-			CHD23_RS00215	WP_077907712.1	286	DMT family transporter
chromosome	NZ_CP030238.1	43912	44001	-		tisB	CHD23_RS00220	WP_000117642.1	29	MULTISPECIES: type I toxin-antitoxin system toxin TisB
chromosome	NZ_CP030238.1	43998	44111	-			CHD23_RS23480	WP_102025839.1	37	hypothetical protein
chromosome	NZ_CP030238.1	44559	44657	+		ivbL	CHD23_RS00230	WP_024134875.1	32	MULTISPECIES: ilvB operon leader peptide IvbL
chromosome	NZ_CP030238.1	44765	46453	+		ilvB	CHD23_RS00235	WP_114049441.1	562	acetolactate synthase large subunit
chromosome	NZ_CP030238.1	46457	46747	+		ilvN	CHD23_RS00240	WP_001171829.1	96	acetolactate synthase small subunit
chromosome	NZ_CP030238.1	46749	47534	-			CHD23_RS00245	WP_000448647.1	261	DeoR family transcriptional regulator
chromosome	NZ_CP030238.1	47857	48777	+		rbsK	CHD23_RS00250	WP_000350269.1	306	ribokinase
chromosome	NZ_CP030238.1	48808	50124	+		fucP	CHD23_RS00255	WP_000998357.1	438	L-fucose:H+ symporter permease
chromosome	NZ_CP030238.1	50136	51149	+			CHD23_RS00260	WP_114049442.1	337	aldose 1-epimerase family protein
chromosome	NZ_CP030238.1	51223	51813	+		uhpA	CHD23_RS00265	WP_079806885.1	196	transcriptional regulator UhpA
chromosome	NZ_CP030238.1	51813	53315	+		uhpB	CHD23_RS00270	WP_001091259.1	500	signal transduction histidine-protein kinase/phosphatase UhpB
chromosome	NZ_CP030238.1	53325	54653	+			CHD23_RS00275	WP_000948167.1	442	MFS transporter
chromosome	NZ_CP030238.1	54796	56187	+		uhpT	CHD23_RS00280	WP_000879189.1	463	hexose-6-phosphate:phosphate antiporter
chromosome	NZ_CP030238.1	56348	56800	+			CHD23_RS00285	WP_001664738.1	150	DUF1198 domain-containing protein
chromosome	NZ_CP030238.1	56931	58124	+		nepI	CHD23_RS00290	WP_001004807.1	397	purine ribonucleoside efflux pump NepI
chromosome	NZ_CP030238.1	58184	59566	-			CHD23_RS00295	WP_001270487.1	460	glycoside hydrolase family 1 protein
chromosome	NZ_CP030238.1	59672	59965	-			CHD23_RS00300	WP_076008999.1	97	hypothetical protein
chromosome	NZ_CP030238.1	60162	62960	+		dagR	CHD23_RS00305	WP_002954712.1	932	transcriptional regulator DagR
chromosome	NZ_CP030238.1	63179	63604	+			CHD23_RS00310	WP_002954711.1	141	PTS sugar transporter subunit IIA
chromosome	NZ_CP030238.1	63615	64100	+			CHD23_RS00315	WP_071650871.1	161	PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB
chromosome	NZ_CP030238.1	64124	64873	+			CHD23_RS00320	WP_000380259.1	249	MULTISPECIES: PTS sugar transporter subunit IIC
