#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP069518.1	4674204	848	-		clpB	I6K01_RS00005	WP_001235092.1	857	MULTISPECIES: ATP-dependent chaperone ClpB
chromosome	NZ_CP069518.1	978	1709	-		pgeF	I6K01_RS00010	WP_000992639.1	243	MULTISPECIES: polyphenol oxidase
chromosome	NZ_CP069518.1	1706	2686	-		rluD	I6K01_RS00015	WP_000079130.1	326	MULTISPECIES: 23S rRNA pseudouridine(1911/1915/1917) synthase RluD
chromosome	NZ_CP069518.1	2818	3555	+		bamD	I6K01_RS00020	WP_000197662.1	245	outer membrane protein assembly factor BamD
chromosome	NZ_CP069518.1	3827	4165	+		raiA	I6K01_RS00025	WP_000178449.1	112	MULTISPECIES: ribosome-associated translation inhibitor RaiA
chromosome	NZ_CP069518.1	4269	4316	+		pheL	I6K01_RS00030	WP_010989056.1	15	MULTISPECIES: pheA operon leader peptide PheL
chromosome	NZ_CP069518.1	4416	5576	+		pheA	I6K01_RS00035	WP_000200080.1	386	MULTISPECIES: bifunctional chorismate mutase/prephenate dehydratase
chromosome	NZ_CP069518.1	5537	6445	-			I6K01_RS00040	WP_000210991.1	302	MULTISPECIES: SMP-30/gluconolactonase/LRE family protein
chromosome	NZ_CP069518.1	6503	7624	-		tyrA	I6K01_RS00045	WP_000225191.1	373	MULTISPECIES: bifunctional chorismate mutase/prephenate dehydrogenase
chromosome	NZ_CP069518.1	7634	8704	-		aroF	I6K01_RS00050	WP_001168062.1	356	MULTISPECIES: 3-deoxy-7-phosphoheptulonate synthase AroF
chromosome	NZ_CP069518.1	9144	9662	+			I6K01_RS00055	WP_001212379.1	172	MULTISPECIES: YfiR family protein
chromosome	NZ_CP069518.1	9655	10875	+		dgcN	I6K01_RS00060	WP_001030988.1	406	diguanylate cyclase DgcN
chromosome	NZ_CP069518.1	11032	11379	-		rplS	I6K01_RS00065	WP_000065257.1	115	MULTISPECIES: 50S ribosomal protein L19
chromosome	NZ_CP069518.1	11420	12187	-		trmD	I6K01_RS00070	WP_000469807.1	255	MULTISPECIES: tRNA (guanosine(37)-N1)-methyltransferase TrmD
chromosome	NZ_CP069518.1	12232	12780	-		rimM	I6K01_RS00075	WP_000043266.1	182	MULTISPECIES: ribosome maturation factor RimM
