#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP046279.1	4555755	533	+			FOC15_RS00005	WP_156015255.1	285	aldo/keto reductase
chromosome	NZ_CP046279.1	632	1516	-			FOC15_RS00010	WP_000608663.1	294	MULTISPECIES: D-hexose-6-phosphate mutarotase
chromosome	NZ_CP046279.1	1845	2840	-		gapA	FOC15_RS00015	WP_000153505.1	331	MULTISPECIES: glyceraldehyde-3-phosphate dehydrogenase
chromosome	NZ_CP046279.1	3182	3595	+		msrB	FOC15_RS00020	WP_001519539.1	137	MULTISPECIES: peptide-methionine (R)-S-oxide reductase MsrB
chromosome	NZ_CP046279.1	3637	3915	+			FOC15_RS00025	WP_001046864.1	92	MULTISPECIES: YeaC family protein
chromosome	NZ_CP046279.1	4304	4534	-			FOC15_RS00030	WP_023213978.1	76	MULTISPECIES: hypothetical protein
chromosome	NZ_CP046279.1	4809	5885	+			FOC15_RS00035	WP_000645184.1	358	MULTISPECIES: zinc-binding dehydrogenase
chromosome	NZ_CP046279.1	5912	7291	+			FOC15_RS00040	WP_023213979.1	459	MFS transporter
chromosome	NZ_CP046279.1	7302	8345	+			FOC15_RS00045	WP_023213980.1	347	NAD(P)-dependent alcohol dehydrogenase
chromosome	NZ_CP046279.1	8367	9203	+			FOC15_RS00050	WP_000878870.1	278	MULTISPECIES: ketose-bisphosphate aldolase
chromosome	NZ_CP046279.1	9208	10155	+			FOC15_RS00055	WP_000343331.1	315	sugar kinase
chromosome	NZ_CP046279.1	10165	11148	+			FOC15_RS00060	WP_023213981.1	327	aldo/keto reductase
chromosome	NZ_CP046279.1	11278	12036	+			FOC15_RS00065	WP_000719104.1	252	MULTISPECIES: DeoR/GlpR family DNA-binding transcription regulator
chromosome	NZ_CP046279.1	12173	13531	+			FOC15_RS00070	WP_000389925.1	452	MFS transporter
chromosome	NZ_CP046279.1	13634	14290	-		pncA	FOC15_RS00075	WP_000184707.1	218	MULTISPECIES: bifunctional nicotinamidase/pyrazinamidase
chromosome	NZ_CP046279.1	14317	15333	-		ansA	FOC15_RS00080	WP_001170134.1	338	MULTISPECIES: asparaginase
chromosome	NZ_CP046279.1	15429	17285	-		sppA	FOC15_RS00085	WP_023213982.1	618	signal peptide peptidase SppA
chromosome	NZ_CP046279.1	17459	18010	+			FOC15_RS00090	WP_000339313.1	183	MULTISPECIES: NAD(P)H nitroreductase
chromosome	NZ_CP046279.1	18128	19171	+		selD	FOC15_RS00095	WP_001294888.1	347	"MULTISPECIES: selenide, water dikinase SelD"
chromosome	NZ_CP046279.1	19176	21125	+		topB	FOC15_RS00100	WP_001235863.1	649	MULTISPECIES: DNA topoisomerase III
chromosome	NZ_CP046279.1	21155	22498	-		gdhA	FOC15_RS00105	WP_000372865.1	447	MULTISPECIES: NADP-specific glutamate dehydrogenase
chromosome	NZ_CP046279.1	22737	23012	+			FOC15_RS00110	WP_000336847.1	91	MULTISPECIES: YnjH family protein
chromosome	NZ_CP046279.1	22972	23388	-			FOC15_RS00115	WP_000592141.1	138	pyrimidine (deoxy)nucleoside triphosphate diphosphatase
chromosome	NZ_CP046279.1	23461	24267	-		xthA	FOC15_RS00120	WP_000673954.1	268	MULTISPECIES: exodeoxyribonuclease III
chromosome	NZ_CP046279.1	24713	25939	+			FOC15_RS00125	WP_023197753.1	408	aspartate aminotransferase family protein
chromosome	NZ_CP046279.1	25930	26964	+		astA	FOC15_RS00130	WP_001263889.1	344	MULTISPECIES: arginine N-succinyltransferase
chromosome	NZ_CP046279.1	26961	28439	+		astD	FOC15_RS00135	WP_080188810.1	492	succinylglutamate-semialdehyde dehydrogenase
chromosome	NZ_CP046279.1	28436	29779	+		astB	FOC15_RS00140	WP_024155294.1	447	N-succinylarginine dihydrolase
chromosome	NZ_CP046279.1	29772	30740	+		astE	FOC15_RS00145	WP_023212246.1	322	MULTISPECIES: succinylglutamate desuccinylase
chromosome	NZ_CP046279.1	31076	31561	+		spy	FOC15_RS00150	WP_001229001.1	161	MULTISPECIES: ATP-independent periplasmic protein-refolding chaperone Spy
chromosome	NZ_CP046279.1	31636	32517	-		cho	FOC15_RS00155	WP_001728969.1	293	excinuclease Cho
chromosome	NZ_CP046279.1	32638	33465	-		nadE	FOC15_RS00160	WP_000174980.1	275	MULTISPECIES: ammonia-dependent NAD(+) synthetase
chromosome	NZ_CP046279.1	33684	34025	+		osmE	FOC15_RS00165	WP_001039301.1	113	MULTISPECIES: osmotically-inducible lipoprotein OsmE
chromosome	NZ_CP046279.1	34326	34646	+		chbB	FOC15_RS00170	WP_000412161.1	106	"MULTISPECIES: PTS N,N\\'-diacetylchitobiose transporter subunit IIB"
chromosome	NZ_CP046279.1	34729	36087	+		chbC	FOC15_RS00175	WP_000073063.1	452	"MULTISPECIES: PTS N,N\\'-diacetylchitobiose transporter subunit IIC"
