#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP066047.1	4676875	219	-		rimP	I6I23_RS00005	WP_000105461.1	150	MULTISPECIES: ribosome maturation factor RimP
chromosome	NZ_CP066047.1	847	2190	+		argG	I6I23_RS00015	WP_000207646.1	447	MULTISPECIES: argininosuccinate synthase
chromosome	NZ_CP066047.1	2348	3307	+			I6I23_RS00020	WP_001083598.1	319	MULTISPECIES: helix-turn-helix domain-containing protein
chromosome	NZ_CP066047.1	3492	3824	-		secG	I6I23_RS00030	WP_000272680.1	110	MULTISPECIES: preprotein translocase subunit SecG
chromosome	NZ_CP066047.1	4047	5384	-		glmM	I6I23_RS00035	WP_000071169.1	445	MULTISPECIES: phosphoglucosamine mutase
chromosome	NZ_CP066047.1	5377	6225	-		folP	I6I23_RS00040	WP_000764713.1	282	MULTISPECIES: dihydropteroate synthase
chromosome	NZ_CP066047.1	6330	8264	-		ftsH	I6I23_RS00045	WP_001107481.1	644	MULTISPECIES: ATP-dependent zinc metalloprotease FtsH
chromosome	NZ_CP066047.1	8368	8994	-		rlmE	I6I23_RS00050	WP_000145974.1	208	MULTISPECIES: 23S rRNA (uridine(2552)-2\\'-O)-methyltransferase RlmE
chromosome	NZ_CP066047.1	9121	9414	+		yhbY	I6I23_RS00055	WP_001592995.1	97	MULTISPECIES: ribosome assembly RNA-binding protein YhbY
chromosome	NZ_CP066047.1	9570	10046	-		greA	I6I23_RS00060	WP_040133551.1	158	transcription elongation factor GreA
chromosome	NZ_CP066047.1	10294	11727	+		dacB	I6I23_RS00065	WP_001212681.1	477	MULTISPECIES: serine-type D-Ala-D-Ala carboxypeptidase
chromosome	NZ_CP066047.1	11858	13030	-		cgtA	I6I23_RS00070	WP_000673556.1	390	MULTISPECIES: Obg family GTPase CgtA
chromosome	NZ_CP066047.1	13046	14011	-			I6I23_RS00075	WP_000813052.1	321	MULTISPECIES: DMT family transporter
chromosome	NZ_CP066047.1	14141	14398	-		rpmA	I6I23_RS00080	WP_000940593.1	85	MULTISPECIES: 50S ribosomal protein L27
chromosome	NZ_CP066047.1	14418	14729	-		rplU	I6I23_RS00085	WP_000271396.1	103	MULTISPECIES: 50S ribosomal protein L21
chromosome	NZ_CP066047.1	14987	15958	+		ispB	I6I23_RS00090	WP_001047354.1	323	MULTISPECIES: octaprenyl diphosphate synthase
chromosome	NZ_CP066047.1	16190	16477	+		sfsB	I6I23_RS00095	WP_000444167.1	95	MULTISPECIES: DNA-binding transcriptional regulator SfsB
chromosome	NZ_CP066047.1	16536	17795	-		murA	I6I23_RS00100	WP_000357287.1	419	MULTISPECIES: UDP-N-acetylglucosamine 1-carboxyvinyltransferase
chromosome	NZ_CP066047.1	17849	18103	-		ibaG	I6I23_RS00105	WP_001518349.1	84	MULTISPECIES: BolA family iron metabolism protein IbaG
chromosome	NZ_CP066047.1	18291	18587	-		mlaB	I6I23_RS00110	WP_000188844.1	98	MULTISPECIES: lipid asymmetry maintenance protein MlaB
chromosome	NZ_CP066047.1	18587	19222	-		mlaC	I6I23_RS00115	WP_000476475.1	211	MULTISPECIES: phospholipid-binding protein MlaC
chromosome	NZ_CP066047.1	19241	19792	-		mlaD	I6I23_RS00120	WP_001193591.1	183	MULTISPECIES: outer membrane lipid asymmetry maintenance protein MlaD
chromosome	NZ_CP066047.1	19797	20579	-		mlaE	I6I23_RS00125	WP_000925786.1	260	MULTISPECIES: lipid asymmetry maintenance ABC transporter permease subunit MlaE
chromosome	NZ_CP066047.1	20587	21399	-		mlaF	I6I23_RS00130	WP_000531566.1	270	MULTISPECIES: phospholipid ABC transporter ATP-binding protein MlaF
chromosome	NZ_CP066047.1	21612	22589	+			I6I23_RS00135	WP_000922742.1	325	MULTISPECIES: calcium/sodium antiporter
chromosome	NZ_CP066047.1	22603	23589	+		kdsD	I6I23_RS00140	WP_000018617.1	328	MULTISPECIES: arabinose-5-phosphate isomerase KdsD
chromosome	NZ_CP066047.1	23610	24176	+		kdsC	I6I23_RS00145	WP_000030032.1	188	MULTISPECIES: 3-deoxy-manno-octulosonate-8-phosphatase KdsC
chromosome	NZ_CP066047.1	24173	24748	+		lptC	I6I23_RS00150	WP_000047845.1	191	MULTISPECIES: LPS export ABC transporter periplasmic protein LptC
chromosome	NZ_CP066047.1	24717	25271	+		lptA	I6I23_RS00155	WP_000669770.1	184	MULTISPECIES: lipopolysaccharide ABC transporter substrate-binding protein LptA
