#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP053581.1	4668980	896	+			HPG92_RS00620	WP_171774055.1	1370	YadA-like family protein
chromosome	NZ_CP053581.1	961	1788	+			HPG92_RS00625	WP_171774056.1	275	outer membrane protein assembly factor BamE
chromosome	NZ_CP053581.1	2079	2294	+			HPG92_RS00630	WP_001664839.1	71	hypothetical protein
chromosome	NZ_CP053581.1	2391	3275	+			HPG92_RS00635	WP_171774057.1	294	helix-turn-helix domain-containing protein
chromosome	NZ_CP053581.1	3478	5577	-			HPG92_RS00640	WP_171774058.1	699	ATP-binding cassette domain-containing protein
chromosome	NZ_CP053581.1	5570	6844	-			HPG92_RS00645	WP_171774059.1	424	HlyD family efflux transporter periplasmic adaptor subunit
chromosome	NZ_CP053581.1	7026	7652	-			HPG92_RS00650	WP_000873050.1	208	hypothetical protein
chromosome	NZ_CP053581.1	7899	8153	-			HPG92_RS00655	WP_001664842.1	84	hypothetical protein
chromosome	NZ_CP053581.1	8974	9186	+			HPG92_RS00665	WP_002954842.1	70	DUF1471 domain-containing protein
chromosome	NZ_CP053581.1	9304	10662	+			HPG92_RS00670	WP_171774060.1	452	IS1182 family transposase
chromosome	NZ_CP053581.1	11613	12275	-			HPG92_RS00680	WP_171774061.1	220	aminomethyltransferase
chromosome	NZ_CP053581.1	14732	15046	+			HPG92_RS00700	WP_000912916.1	104	PTS sugar transporter subunit IIB
chromosome	NZ_CP053581.1	15039	16406	+			HPG92_RS00705	WP_001084149.1	455	PTS sugar transporter subunit IIC
chromosome	NZ_CP053581.1	16393	17235	+			HPG92_RS00710	WP_023186728.1	280	class II fructose-bisphosphate aldolase
chromosome	NZ_CP053581.1	17294	17563	+			HPG92_RS00715	WP_023186727.1	89	hypothetical protein
chromosome	NZ_CP053581.1	17587	18024	+			HPG92_RS00720	WP_171774062.1	145	PTS sugar transporter subunit IIA
chromosome	NZ_CP053581.1	18021	18605	+			HPG92_RS00725	WP_171774063.1	194	AAA family ATPase
chromosome	NZ_CP053581.1	18661	18984	-			HPG92_RS00730	WP_171774064.1	107	AzlD domain-containing protein
chromosome	NZ_CP053581.1	18984	19643	-			HPG92_RS00735	WP_076010054.1	219	AzlC family ABC transporter permease
chromosome	NZ_CP053581.1	19744	20292	+			HPG92_RS00740	WP_176168428.1	182	XRE family transcriptional regulator
chromosome	NZ_CP053581.1	20335	20649	-		rhaM	HPG92_RS00745	WP_079804298.1	104	L-rhamnose mutarotase
chromosome	NZ_CP053581.1	20646	21794	-		fucO	HPG92_RS00750	WP_171774065.1	382	lactaldehyde reductase
chromosome	NZ_CP053581.1	21806	22630	-		rhaD	HPG92_RS00755	WP_171774066.1	274	rhamnulose-1-phosphate aldolase
chromosome	NZ_CP053581.1	22709	23968	-		rhaA	HPG92_RS00760	WP_171774067.1	419	L-rhamnose isomerase
