#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP075108.1	1	1401	+		dnaA	CIC23_RS00005	WP_000059090.1	466	MULTISPECIES: chromosomal replication initiator protein DnaA
chromosome	NZ_CP075108.1	1406	2506	+		dnaN	CIC23_RS00010	WP_000673474.1	366	MULTISPECIES: DNA polymerase III subunit beta
chromosome	NZ_CP075108.1	2654	3727	+		recF	CIC23_RS00015	WP_000060081.1	357	MULTISPECIES: DNA replication/repair protein RecF
chromosome	NZ_CP075108.1	3756	6170	+		gyrB	CIC23_RS00020	WP_000072047.1	804	MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B
chromosome	NZ_CP075108.1	6177	7085	-			CIC23_RS00025	WP_023261280.1	302	MULTISPECIES: LysR family transcriptional regulator
chromosome	NZ_CP075108.1	7200	8393	-			CIC23_RS00030	WP_000975839.1	397	MULTISPECIES: mandelate racemase/muconate lactonizing enzyme family protein
chromosome	NZ_CP075108.1	8407	9669	-			CIC23_RS00035	WP_023261281.1	420	MULTISPECIES: MFS transporter
chromosome	NZ_CP075108.1	9974	10819	+		yidA	CIC23_RS00040	WP_000985570.1	281	MULTISPECIES: sugar-phosphatase
chromosome	NZ_CP075108.1	11080	11769	+		dgoR	CIC23_RS00045	WP_000174317.1	229	MULTISPECIES: D-galactonate utilization transcriptional regulator DgoR
chromosome	NZ_CP075108.1	11766	12644	+			CIC23_RS00050	WP_000127130.1	292	MULTISPECIES: 2-dehydro-3-deoxygalactonokinase
chromosome	NZ_CP075108.1	12628	13245	+			CIC23_RS00055	WP_001198742.1	205	MULTISPECIES: 2-dehydro-3-deoxy-6-phosphogalactonate aldolase
chromosome	NZ_CP075108.1	13242	14390	+		dgoD	CIC23_RS00060	WP_023261282.1	382	MULTISPECIES: galactonate dehydratase
chromosome	NZ_CP075108.1	14475	15812	+			CIC23_RS00065	WP_000253524.1	445	MULTISPECIES: MFS transporter
chromosome	NZ_CP075108.1	15838	18573	-		torS	CIC23_RS00070	WP_023261283.1	911	TMAO reductase system sensor histidine kinase/response regulator TorS
chromosome	NZ_CP075108.1	18653	19693	+		torT	CIC23_RS00075	WP_001202041.1	346	MULTISPECIES: TMAO reductase system periplasmic protein TorT
chromosome	NZ_CP075108.1	19666	20358	-		torR	CIC23_RS00080	WP_001562512.1	230	MULTISPECIES: two-component system response regulator TorR
chromosome	NZ_CP075108.1	20488	21672	+		torC	CIC23_RS00085	WP_001230254.1	394	MULTISPECIES: pentaheme c-type cytochrome TorC
chromosome	NZ_CP075108.1	21662	24214	+		torA	CIC23_RS00090	WP_020437375.1	850	MULTISPECIES: trimethylamine-N-oxide reductase TorA
chromosome	NZ_CP075108.1	24207	24839	+		torD	CIC23_RS00095	WP_052929822.1	210	molecular chaperone TorD
chromosome	NZ_CP075108.1	25029	26429	+			CIC23_RS00100	WP_000724476.1	466	MULTISPECIES: cytochrome-c peroxidase
chromosome	NZ_CP075108.1	26435	27052	+		ccmA	CIC23_RS00105	WP_023261284.1	205	cytochrome c biogenesis heme-transporting ATPase CcmA
chromosome	NZ_CP075108.1	27049	27708	+		ccmB	CIC23_RS00110	WP_220541977.1	219	heme exporter protein CcmB
chromosome	NZ_CP075108.1	27760	28497	+			CIC23_RS00115	WP_000266003.1	245	MULTISPECIES: heme ABC transporter permease
chromosome	NZ_CP075108.1	28494	28706	+		ccmD	CIC23_RS00120	WP_000074106.1	70	MULTISPECIES: heme exporter protein CcmD
chromosome	NZ_CP075108.1	28703	29182	+		ccmE	CIC23_RS00125	WP_001053621.1	159	MULTISPECIES: cytochrome c maturation protein CcmE
chromosome	NZ_CP075108.1	29179	31110	+			CIC23_RS00130	WP_220541978.1	643	heme lyase CcmF/NrfE family subunit
chromosome	NZ_CP075108.1	31107	31664	+		dsbE	CIC23_RS00135	WP_000828295.1	185	MULTISPECIES: thiol:disulfide interchange protein DsbE
chromosome	NZ_CP075108.1	31661	32704	+			CIC23_RS00140	WP_220541979.1	347	cytochrome c-type biogenesis protein CcmH
chromosome	NZ_CP075108.1	32826	34052	+			CIC23_RS00145	WP_023261287.1	408	MULTISPECIES: DUF3748 domain-containing protein
chromosome	NZ_CP075108.1	34054	34386	-			CIC23_RS00150	WP_001581211.1	110	MULTISPECIES: YceK/YidQ family lipoprotein
chromosome	NZ_CP075108.1	34696	35109	+		ibpA	CIC23_RS00155	WP_001532742.1	137	MULTISPECIES: heat shock chaperone IbpA
chromosome	NZ_CP075108.1	35219	35647	+		ibpB	CIC23_RS00160	WP_001246919.1	142	MULTISPECIES: heat shock chaperone IbpB
chromosome	NZ_CP075108.1	35836	37497	+			CIC23_RS00165	WP_001279793.1	553	MULTISPECIES: putative transporter
chromosome	NZ_CP075108.1	37941	38288	+			CIC23_RS00170	WP_000703964.1	115	MULTISPECIES: YidH family protein
chromosome	NZ_CP075108.1	38278	38640	+			CIC23_RS00175	WP_001113454.1	120	MULTISPECIES: DUF202 domain-containing protein
chromosome	NZ_CP075108.1	38637	39167	+			CIC23_RS00180	WP_000147832.1	176	MULTISPECIES: radical SAM protein
chromosome	NZ_CP075108.1	39249	40571	-		dsdA	CIC23_RS00185	WP_023138061.1	440	MULTISPECIES: D-serine ammonia-lyase
chromosome	NZ_CP075108.1	40589	41926	-		dsdX	CIC23_RS00190	WP_052929805.1	445	D-serine transporter DsdX
chromosome	NZ_CP075108.1	42152	43075	+		dsdC	CIC23_RS00195	WP_001541637.1	307	MULTISPECIES: DNA-binding transcriptional regulator DsdC
chromosome	NZ_CP075108.1	43139	44224	+			CIC23_RS00200	WP_000238927.1	361	MULTISPECIES: cellulase family glycosylhydrolase
chromosome	NZ_CP075108.1	44151	45335	-		emrD	CIC23_RS00205	WP_000828736.1	394	MULTISPECIES: multidrug efflux MFS transporter EmrD
chromosome	NZ_CP075108.1	45538	46398	-			CIC23_RS00210	WP_072103332.1	286	MULTISPECIES: DMT family transporter
chromosome	NZ_CP075108.1	46491	46580	-		tisB	CIC23_RS00215	WP_000117642.1	29	MULTISPECIES: type I toxin-antitoxin system toxin TisB
chromosome	NZ_CP075108.1	47214	47312	+		ivbL	CIC23_RS00225	WP_001541152.1	32	MULTISPECIES: ilvB operon leader peptide IvbL
chromosome	NZ_CP075108.1	47419	49107	+		ilvB	CIC23_RS00230	WP_000168439.1	562	MULTISPECIES: acetolactate synthase large subunit
chromosome	NZ_CP075108.1	49111	49401	+		ilvN	CIC23_RS00235	WP_001171826.1	96	MULTISPECIES: acetolactate synthase small subunit
chromosome	NZ_CP075108.1	49403	50188	-			CIC23_RS00240	WP_000448642.1	261	MULTISPECIES: DeoR family transcriptional regulator
chromosome	NZ_CP075108.1	50513	51433	+		rbsK	CIC23_RS00245	WP_000350272.1	306	MULTISPECIES: ribokinase
chromosome	NZ_CP075108.1	51464	52780	+		fucP	CIC23_RS00250	WP_000998359.1	438	MULTISPECIES: L-fucose:H+ symporter permease
chromosome	NZ_CP075108.1	52792	53805	+			CIC23_RS00255	WP_023261291.1	337	MULTISPECIES: aldose 1-epimerase family protein
chromosome	NZ_CP075108.1	53880	54470	+		uhpA	CIC23_RS00260	WP_000633672.1	196	MULTISPECIES: transcriptional regulator UhpA
chromosome	NZ_CP075108.1	54470	55972	+		uhpB	CIC23_RS00265	WP_001091257.1	500	MULTISPECIES: signal transduction histidine-protein kinase/phosphatase UhpB
chromosome	NZ_CP075108.1	55982	57310	+			CIC23_RS00270	WP_023261292.1	442	MULTISPECIES: MFS transporter
chromosome	NZ_CP075108.1	57453	58844	+		uhpT	CIC23_RS00275	WP_000879181.1	463	MULTISPECIES: hexose-6-phosphate:phosphate antiporter
chromosome	NZ_CP075108.1	59037	59489	+			CIC23_RS00280	WP_001519640.1	150	MULTISPECIES: DUF1198 domain-containing protein
chromosome	NZ_CP075108.1	59922	60245	-			CIC23_RS00285	WP_001274842.1	107	MULTISPECIES: DNA-binding transcriptional regulator
chromosome	NZ_CP075108.1	60229	60588	-			CIC23_RS00290	WP_023181075.1	119	MULTISPECIES: type II toxin-antitoxin system RelE/ParE family toxin
chromosome	NZ_CP075108.1	60804	61997	+		nepI	CIC23_RS00295	WP_001004804.1	397	MULTISPECIES: purine ribonucleoside efflux pump NepI
chromosome	NZ_CP075108.1	62057	63439	-			CIC23_RS00300	WP_052929803.1	460	glycoside hydrolase family 1 protein
chromosome	NZ_CP075108.1	63545	63838	-			CIC23_RS00305	WP_000824212.1	97	MULTISPECIES: hypothetical protein
chromosome	NZ_CP075108.1	64035	66833	+		dagR	CIC23_RS00310	WP_023137574.1	932	MULTISPECIES: transcriptional regulator DagR
chromosome	NZ_CP075108.1	67055	67480	+			CIC23_RS00315	WP_000214111.1	141	MULTISPECIES: PTS sugar transporter subunit IIA
chromosome	NZ_CP075108.1	67491	67976	+			CIC23_RS00320	WP_023261294.1	161	MULTISPECIES: PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB
chromosome	NZ_CP075108.1	68122	68871	+			CIC23_RS00325	WP_000380259.1	249	MULTISPECIES: PTS sugar transporter subunit IIC
chromosome	NZ_CP075108.1	68868	69728	+			CIC23_RS00330	WP_001526325.1	286	MULTISPECIES: PTS system mannose/fructose/sorbose family transporter subunit IID
chromosome	NZ_CP075108.1	69732	70841	+		dgaE	CIC23_RS00335	WP_023261295.1	369	MULTISPECIES: D-glucosaminate-6-phosphate ammonia lyase
chromosome	NZ_CP075108.1	70828	71571	+			CIC23_RS00340	WP_001186147.1	247	MULTISPECIES: 2-dehydro-3-deoxy-phosphogluconate aldolase
chromosome	NZ_CP075108.1	71808	72737	+			CIC23_RS00345	WP_000749536.1	309	MULTISPECIES: Rpn family recombination-promoting nuclease/putative transposase
chromosome	NZ_CP075108.1	72780	73682	-			CIC23_RS00350	WP_001682335.1	300	MULTISPECIES: EamA family transporter
chromosome	NZ_CP075108.1	74191	74886	+			CIC23_RS00355	WP_000392694.1	231	MULTISPECIES: MgtC family protein
chromosome	NZ_CP075108.1	75106	77832	+		mgtA	CIC23_RS00360	WP_000131284.1	908	MULTISPECIES: magnesium-translocating P-type ATPase
chromosome	NZ_CP075108.1	77854	77946	+		mgtR	CIC23_RS00365	WP_001082117.1	30	MULTISPECIES: protein MgtR
chromosome	NZ_CP075108.1	78147	78626	+		cigR	CIC23_RS00370	WP_001065327.1	159	MULTISPECIES: anti-virulence regulatory inner membrane protein CigR
chromosome	NZ_CP075108.1	78855	79535	-			CIC23_RS00375	WP_000106461.1	226	MULTISPECIES: isochorismatase family protein
chromosome	NZ_CP075108.1	80154	80267	+			CIC23_RS00380	WP_001541135.1	37	MULTISPECIES: hypothetical protein
chromosome	NZ_CP075108.1	80320	81177	+			CIC23_RS00385	WP_001278060.1	285	MULTISPECIES: transcriptional regulator
chromosome	NZ_CP075108.1	81188	81652	+			CIC23_RS00390	WP_001521985.1	154	MULTISPECIES: hypothetical protein
chromosome	NZ_CP075108.1	81747	84614	-		misL	CIC23_RS00395	WP_023261297.1	955	intestinal colonization autotransporter adhesin MisL
chromosome	NZ_CP075108.1	84689	85306	-			CIC23_RS00400	WP_000984812.1	205	MULTISPECIES: helix-turn-helix transcriptional regulator
chromosome	NZ_CP075108.1	87310	88692	+			CIC23_RS00420	WP_000834259.1	460	MULTISPECIES: glycoside-pentoside-hexuronide family transporter
chromosome	NZ_CP075108.1	88704	91022	+		yicI	CIC23_RS00425	WP_023261298.1	772	alpha-xylosidase
chromosome	NZ_CP075108.1	91125	92834	-			CIC23_RS00430	WP_023181612.1	569	MULTISPECIES: AsmA family protein
chromosome	NZ_CP075108.1	92955	94346	-		xanP	CIC23_RS00435	WP_000115428.1	463	MULTISPECIES: xanthine/proton symporter XanP
chromosome	NZ_CP075108.1	94574	95779	+		gltS	CIC23_RS00440	WP_000462247.1	401	MULTISPECIES: sodium/glutamate symporter
chromosome	NZ_CP075108.1	95815	97896	-		recG	CIC23_RS00445	WP_000016748.1	693	MULTISPECIES: ATP-dependent DNA helicase RecG
chromosome	NZ_CP075108.1	97902	98591	-		trmH	CIC23_RS00450	WP_001068436.1	229	MULTISPECIES: tRNA (guanosine(18)-2\\'-O)-methyltransferase TrmH
chromosome	NZ_CP075108.1	98596	100707	-		spoT	CIC23_RS00455	WP_000280481.1	703	"MULTISPECIES: bifunctional GTP diphosphokinase/guanosine-3\\',5\\'-bis pyrophosphate 3\\'-pyrophosphohydrolase"
chromosome	NZ_CP075108.1	100726	101001	-		rpoZ	CIC23_RS00460	WP_000135058.1	91	MULTISPECIES: DNA-directed RNA polymerase subunit omega
chromosome	NZ_CP075108.1	101056	101679	-		gmk	CIC23_RS00465	WP_000046966.1	207	MULTISPECIES: guanylate kinase
chromosome	NZ_CP075108.1	101936	103621	+		ligB	CIC23_RS00470	WP_023261299.1	561	MULTISPECIES: NAD-dependent DNA ligase LigB
chromosome	NZ_CP075108.1	103618	104235	-			CIC23_RS00475	WP_000924334.1	205	MULTISPECIES: trimeric intracellular cation channel family protein
chromosome	NZ_CP075108.1	104486	105367	-			CIC23_RS00480	WP_023261300.1	293	MULTISPECIES: HARLDQ motif MBL-fold protein
chromosome	NZ_CP075108.1	105441	106343	+			CIC23_RS00485	WP_001050862.1	300	MULTISPECIES: LysR family transcriptional regulator
chromosome	NZ_CP075108.1	106393	107256	-			CIC23_RS00490	WP_000621352.1	287	MULTISPECIES: YicC family protein
chromosome	NZ_CP075108.1	107382	108098	+		rph	CIC23_RS00495	WP_001247078.1	238	MULTISPECIES: ribonuclease PH
chromosome	NZ_CP075108.1	108177	108818	+		pyrE	CIC23_RS00500	WP_000806167.1	213	MULTISPECIES: orotate phosphoribosyltransferase
chromosome	NZ_CP075108.1	108896	109492	-		slmA	CIC23_RS00505	WP_000818607.1	198	MULTISPECIES: nucleoid occlusion factor SlmA
chromosome	NZ_CP075108.1	109600	110058	-		dut	CIC23_RS00510	WP_000976078.1	152	MULTISPECIES: dUTP diphosphatase
chromosome	NZ_CP075108.1	110036	111256	-		coaBC	CIC23_RS00515	WP_023261301.1	406	MULTISPECIES: bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
chromosome	NZ_CP075108.1	111432	112097	+		radC	CIC23_RS00520	WP_000380125.1	221	MULTISPECIES: DNA repair protein RadC
chromosome	NZ_CP075108.1	112315	112551	+		rpmB	CIC23_RS00525	WP_001519051.1	78	MULTISPECIES: 50S ribosomal protein L28
chromosome	NZ_CP075108.1	112572	112739	+		rpmG	CIC23_RS00530	WP_001051798.1	55	MULTISPECIES: 50S ribosomal protein L33
chromosome	NZ_CP075108.1	112837	113646	+		mutM	CIC23_RS00535	WP_001114512.1	269	MULTISPECIES: bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase
chromosome	NZ_CP075108.1	113674	114153	-		coaD	CIC23_RS00540	WP_001171884.1	159	MULTISPECIES: pantetheine-phosphate adenylyltransferase
chromosome	NZ_CP075108.1	114162	115439	-		waaA	CIC23_RS00545	WP_000891580.1	425	MULTISPECIES: lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
chromosome	NZ_CP075108.1	115848	116918	+		rfaQ	CIC23_RS00550	WP_001526672.1	356	MULTISPECIES: lipopolysaccharide core heptosyltransferase RfaQ
chromosome	NZ_CP075108.1	116915	118039	+			CIC23_RS00555	WP_001261577.1	374	MULTISPECIES: glycosyltransferase family 4 protein
chromosome	NZ_CP075108.1	118032	118829	+		rfaP	CIC23_RS00560	WP_000229828.1	265	MULTISPECIES: lipopolysaccharide core heptose(I) kinase RfaP
chromosome	NZ_CP075108.1	119164	120243	+		waaB	CIC23_RS00570	WP_000683972.1	359	"MULTISPECIES: lipopolysaccharide 1,6-galactosyltransferase"
chromosome	NZ_CP075108.1	120249	121262	+		waaO	CIC23_RS00575	WP_000088485.1	337	MULTISPECIES: lipopolysaccharide 3-alpha-galactosyltransferase
chromosome	NZ_CP075108.1	121280	122293	+		rfaJ	CIC23_RS00580	WP_000376855.1	337	"MULTISPECIES: lipopolysaccharide 1,2-glucosyltransferase RfaJ"
chromosome	NZ_CP075108.1	122316	123014	+		rfaY	CIC23_RS00585	WP_000582817.1	232	MULTISPECIES: lipopolysaccharide core heptose(II) kinase RfaY
chromosome	NZ_CP075108.1	123164	123973	+		waaZ	CIC23_RS00590	WP_000536017.1	269	MULTISPECIES: 3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ
chromosome	NZ_CP075108.1	124073	125218	+			CIC23_RS00595	WP_000591831.1	381	MULTISPECIES: lipopolysaccharide N-acetylglucosaminyltransferase
chromosome	NZ_CP075108.1	125275	126489	-		rfaL	CIC23_RS00600	WP_000958450.1	404	MULTISPECIES: O-antigen ligase RfaL
chromosome	NZ_CP075108.1	126529	127482	-		rfaC	CIC23_RS00605	WP_001264621.1	317	MULTISPECIES: lipopolysaccharide heptosyltransferase RfaC
chromosome	NZ_CP075108.1	127482	128528	-		rfaF	CIC23_RS00610	WP_000699192.1	348	MULTISPECIES: ADP-heptose--LPS heptosyltransferase RfaF
chromosome	NZ_CP075108.1	128531	129463	-		rfaD	CIC23_RS00615	WP_000587771.1	310	MULTISPECIES: ADP-glyceromanno-heptose 6-epimerase
chromosome	NZ_CP075108.1	129666	130862	+		kbl	CIC23_RS00620	WP_001213790.1	398	MULTISPECIES: glycine C-acetyltransferase
chromosome	NZ_CP075108.1	130872	131897	+		tdh	CIC23_RS00625	WP_023261204.1	341	MULTISPECIES: L-threonine 3-dehydrogenase
chromosome	NZ_CP075108.1	132191	133225	+			CIC23_RS00630	WP_023261203.1	344	MULTISPECIES: glycosyltransferase
chromosome	NZ_CP075108.1	133212	134174	-			CIC23_RS00635	WP_001620423.1	320	MULTISPECIES: divergent polysaccharide deacetylase family protein
chromosome	NZ_CP075108.1	134178	135461	-		envC	CIC23_RS00640	WP_023261202.1	427	MULTISPECIES: murein hydrolase activator EnvC
chromosome	NZ_CP075108.1	135471	137015	-		gpmM	CIC23_RS00645	WP_000116576.1	514	"MULTISPECIES: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
chromosome	NZ_CP075108.1	137263	137694	+			CIC23_RS00650	WP_001156179.1	143	MULTISPECIES: rhodanese-like domain-containing protein
chromosome	NZ_CP075108.1	137780	138031	+		grxC	CIC23_RS00655	WP_001273795.1	83	MULTISPECIES: glutaredoxin 3
chromosome	NZ_CP075108.1	138075	138542	+		secB	CIC23_RS00660	WP_000003370.1	155	MULTISPECIES: protein-export chaperone SecB
chromosome	NZ_CP075108.1	138542	139561	+		gpsA	CIC23_RS00665	WP_001076596.1	339	MULTISPECIES: NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
chromosome	NZ_CP075108.1	139639	140460	+		cysE	CIC23_RS00670	WP_001112114.1	273	MULTISPECIES: serine O-acetyltransferase
chromosome	NZ_CP075108.1	140543	141853	-			CIC23_RS00675	WP_023261201.1	436	MFS transporter
chromosome	NZ_CP075108.1	141927	143123	-			CIC23_RS00680	WP_001218249.1	398	MULTISPECIES: L-talarate/galactarate dehydratase
chromosome	NZ_CP075108.1	143442	144446	+			CIC23_RS00685	WP_001537635.1	334	MULTISPECIES: LacI family DNA-binding transcriptional regulator
chromosome	NZ_CP075108.1	144513	144986	-		trmL	CIC23_RS00690	WP_000932335.1	157	MULTISPECIES: tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2\\'-O)-methyltransferase TrmL
chromosome	NZ_CP075108.1	145050	146240	-		lldD	CIC23_RS00695	WP_000586988.1	396	MULTISPECIES: quinone-dependent L-lactate dehydrogenase
chromosome	NZ_CP075108.1	146237	147013	-		lldR	CIC23_RS00700	WP_052929743.1	258	transcriptional regulator LldR
chromosome	NZ_CP075108.1	147010	148665	-		lldP	CIC23_RS00705	WP_001055305.1	551	MULTISPECIES: L-lactate permease
chromosome	NZ_CP075108.1	148964	153475	-		sadA	CIC23_RS00710	WP_220541980.1	1503	YadA-like family protein
