#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP037891.1	1658525	1658908	+		bssR	AP074_RS07900	WP_000259651.1	127	MULTISPECIES: biofilm formation regulator BssR
chromosome	NZ_CP037891.1	1659622	1660137	+			AP074_RS07905	WP_001521476.1	171	MULTISPECIES: CoA ester lyase
chromosome	NZ_CP037891.1	1660055	1660909	+			AP074_RS07910	WP_000440580.1	284	MULTISPECIES: electron transfer flavoprotein subunit beta/FixA family protein
chromosome	NZ_CP037891.1	1660920	1661867	+			AP074_RS07915	WP_000157776.1	315	MULTISPECIES: FAD-binding protein
chromosome	NZ_CP037891.1	1661900	1662163	+			AP074_RS22820	WP_001528824.1	87	MULTISPECIES: hypothetical protein
chromosome	NZ_CP037891.1	1662160	1663323	+			AP074_RS07925	WP_000835387.1	387	MULTISPECIES: acyl-CoA/acyl-ACP dehydrogenase
chromosome	NZ_CP037891.1	1663772	1665457	+			AP074_RS07935	WP_001000306.1	561	MULTISPECIES: electron transfer flavoprotein-ubiquinone oxidoreductase
chromosome	NZ_CP037891.1	1665463	1666353	-			AP074_RS07940	WP_023197647.1	296	MULTISPECIES: LysR family transcriptional regulator
chromosome	NZ_CP037891.1	1666618	1667043	-			AP074_RS07945	WP_024155314.1	141	GntP family permease
chromosome	NZ_CP037891.1	1668067	1668693	-			AP074_RS07955	WP_000631907.1	208	MULTISPECIES: glutathione S-transferase family protein
chromosome	NZ_CP037891.1	1668937	1670139	+		dacC	AP074_RS07960	WP_000195710.1	400	MULTISPECIES: serine-type D-Ala-D-Ala carboxypeptidase
chromosome	NZ_CP037891.1	1670184	1670942	-		deoR	AP074_RS07965	WP_000450103.1	252	MULTISPECIES: DNA-binding transcriptional repressor DeoR
chromosome	NZ_CP037891.1	1671014	1671622	-		ybjG	AP074_RS07970	WP_001531378.1	202	MULTISPECIES: undecaprenyl-diphosphate phosphatase
chromosome	NZ_CP037891.1	1671935	1673167	+			AP074_RS07980	WP_001181284.1	410	MULTISPECIES: MFS transporter
chromosome	NZ_CP037891.1	1673221	1674036	-			AP074_RS07985	WP_024155313.1	271	Cof-type HAD-IIB family hydrolase
chromosome	NZ_CP037891.1	1674033	1675244	-			AP074_RS07990	WP_000217430.1	403	MULTISPECIES: MFS transporter
chromosome	NZ_CP037891.1	1675412	1676032	+			AP074_RS07995	WP_000661873.1	206	MULTISPECIES: TetR/AcrR family transcriptional regulator
chromosome	NZ_CP037891.1	1676149	1677834	-			AP074_RS08005	WP_001024853.1	561	MULTISPECIES: aspartate:alanine antiporter
chromosome	NZ_CP037891.1	1678105	1678482	+			AP074_RS08010	WP_000680849.1	125	MULTISPECIES: inner membrane protein YbjM
chromosome	NZ_CP037891.1	1678514	1678777	-			AP074_RS08015	WP_000495513.1	87	MULTISPECIES: GrxA family glutaredoxin
chromosome	NZ_CP037891.1	1678947	1679237	+			AP074_RS08020	WP_001259137.1	96	MULTISPECIES: YbjC family protein
chromosome	NZ_CP037891.1	1679221	1679943	+		nfsA	AP074_RS08025	WP_001633082.1	240	nitroreductase NfsA
chromosome	NZ_CP037891.1	1680001	1680903	+		rimK	AP074_RS08030	WP_000684366.1	300	MULTISPECIES: 30S ribosomal protein S6--L-glutamate ligase
chromosome	NZ_CP037891.1	1680999	1681475	+			AP074_RS08035	WP_000624810.1	158	MULTISPECIES: YbjN domain-containing protein
