#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP030231.1	1	1401	+		dnaA	CHD10_RS00005	WP_000059093.1	466	MULTISPECIES: chromosomal replication initiator protein DnaA
chromosome	NZ_CP030231.1	1406	2506	+		dnaN	CHD10_RS00010	WP_000673474.1	366	MULTISPECIES: DNA polymerase III subunit beta
chromosome	NZ_CP030231.1	2654	3727	+		recF	CHD10_RS00015	WP_079899296.1	357	MULTISPECIES: DNA replication/repair protein RecF
chromosome	NZ_CP030231.1	3756	6170	+		gyrB	CHD10_RS00020	WP_000072047.1	804	MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B
chromosome	NZ_CP030231.1	6177	7085	-			CHD10_RS00025	WP_079899297.1	302	MULTISPECIES: LysR family transcriptional regulator
chromosome	NZ_CP030231.1	7200	8393	-			CHD10_RS00030	WP_000975829.1	397	MULTISPECIES: mandelate racemase/muconate lactonizing enzyme family protein
chromosome	NZ_CP030231.1	8407	9669	-			CHD10_RS00035	WP_000061246.1	420	MULTISPECIES: MFS transporter
chromosome	NZ_CP030231.1	9958	10803	+		yidA	CHD10_RS00040	WP_000985570.1	281	MULTISPECIES: sugar-phosphatase
chromosome	NZ_CP030231.1	11064	11753	+		dgoR	CHD10_RS00045	WP_000174317.1	229	MULTISPECIES: D-galactonate utilization transcriptional regulator DgoR
chromosome	NZ_CP030231.1	11750	12628	+			CHD10_RS00050	WP_000127130.1	292	MULTISPECIES: 2-dehydro-3-deoxygalactonokinase
chromosome	NZ_CP030231.1	12612	13229	+			CHD10_RS00055	WP_001198742.1	205	MULTISPECIES: 2-dehydro-3-deoxy-6-phosphogalactonate aldolase
chromosome	NZ_CP030231.1	13226	14374	+		dgoD	CHD10_RS00060	WP_000704736.1	382	MULTISPECIES: galactonate dehydratase
chromosome	NZ_CP030231.1	14459	15796	+			CHD10_RS00065	WP_000253524.1	445	MULTISPECIES: MFS transporter
chromosome	NZ_CP030231.1	15822	18557	-		torS	CHD10_RS00070	WP_079899298.1	911	MULTISPECIES: TMAO reductase system sensor histidine kinase/response regulator TorS
chromosome	NZ_CP030231.1	18637	19677	+		torT	CHD10_RS00075	WP_001202044.1	346	MULTISPECIES: TMAO reductase system periplasmic protein TorT
chromosome	NZ_CP030231.1	19650	20342	-		torR	CHD10_RS00080	WP_001562512.1	230	MULTISPECIES: two-component system response regulator TorR
chromosome	NZ_CP030231.1	20472	21656	+		torC	CHD10_RS00085	WP_001230254.1	394	MULTISPECIES: pentaheme c-type cytochrome TorC
chromosome	NZ_CP030231.1	21646	24198	+		torA	CHD10_RS00090	WP_079899299.1	850	MULTISPECIES: trimethylamine-N-oxide reductase TorA
chromosome	NZ_CP030231.1	24191	24823	+		torD	CHD10_RS00095	WP_000595421.1	210	MULTISPECIES: molecular chaperone TorD
chromosome	NZ_CP030231.1	25013	26413	+			CHD10_RS00100	WP_000724476.1	466	MULTISPECIES: cytochrome-c peroxidase
chromosome	NZ_CP030231.1	26419	27036	+		ccmA	CHD10_RS00105	WP_000888524.1	205	cytochrome c biogenesis heme-transporting ATPase CcmA
chromosome	NZ_CP030231.1	27033	27692	+		ccmB	CHD10_RS00110	WP_079899316.1	219	heme exporter protein CcmB
chromosome	NZ_CP030231.1	27744	28481	+			CHD10_RS00115	WP_000266003.1	245	MULTISPECIES: heme ABC transporter permease
chromosome	NZ_CP030231.1	28478	28690	+		ccmD	CHD10_RS00120	WP_000074110.1	70	MULTISPECIES: heme exporter protein CcmD
chromosome	NZ_CP030231.1	28687	29166	+		ccmE	CHD10_RS00125	WP_001053609.1	159	MULTISPECIES: cytochrome c maturation protein CcmE
chromosome	NZ_CP030231.1	29163	31094	+			CHD10_RS00130	WP_079899317.1	643	MULTISPECIES: heme lyase CcmF/NrfE family subunit
chromosome	NZ_CP030231.1	31091	31648	+		dsbE	CHD10_RS00135	WP_000828293.1	185	MULTISPECIES: thiol:disulfide interchange protein DsbE
chromosome	NZ_CP030231.1	31645	32688	+			CHD10_RS00140	WP_044815690.1	347	MULTISPECIES: cytochrome c-type biogenesis protein CcmH
chromosome	NZ_CP030231.1	32810	34036	+			CHD10_RS00145	WP_001749295.1	408	MULTISPECIES: DUF3748 domain-containing protein
chromosome	NZ_CP030231.1	34038	34370	-			CHD10_RS00150	WP_001675643.1	110	MULTISPECIES: YceK/YidQ family lipoprotein
chromosome	NZ_CP030231.1	34680	35093	+		ibpA	CHD10_RS00155	WP_001532742.1	137	MULTISPECIES: heat shock chaperone IbpA
chromosome	NZ_CP030231.1	35203	35631	+		ibpB	CHD10_RS00160	WP_001246919.1	142	MULTISPECIES: heat shock chaperone IbpB
chromosome	NZ_CP030231.1	35820	37481	+			CHD10_RS00165	WP_001279781.1	553	MULTISPECIES: putative transporter
chromosome	NZ_CP030231.1	37925	38272	+			CHD10_RS00170	WP_000703963.1	115	MULTISPECIES: DUF202 domain-containing protein
chromosome	NZ_CP030231.1	38262	38624	+			CHD10_RS00175	WP_001113454.1	120	MULTISPECIES: DUF202 domain-containing protein
chromosome	NZ_CP030231.1	38621	39151	+			CHD10_RS00180	WP_079899354.1	176	MULTISPECIES: radical SAM protein
chromosome	NZ_CP030231.1	39231	40553	-		dsdA	CHD10_RS00185	WP_079899353.1	440	MULTISPECIES: D-serine ammonia-lyase
chromosome	NZ_CP030231.1	40571	41908	-		dsdX	CHD10_RS00190	WP_000543317.1	445	MULTISPECIES: D-serine transporter DsdX
