#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP060508.1	1	1401	+		dnaA	H9L34_RS00005	WP_000059093.1	466	MULTISPECIES: chromosomal replication initiator protein DnaA
chromosome	NZ_CP060508.1	1406	2506	+		dnaN	H9L34_RS00010	WP_000673474.1	366	MULTISPECIES: DNA polymerase III subunit beta
chromosome	NZ_CP060508.1	2704	3777	+		recF	H9L34_RS00015	WP_000059372.1	357	MULTISPECIES: DNA replication/repair protein RecF
chromosome	NZ_CP060508.1	3806	6220	+		gyrB	H9L34_RS00020	WP_000072047.1	804	MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B
chromosome	NZ_CP060508.1	6239	7135	-			H9L34_RS00025	WP_001054589.1	298	MULTISPECIES: LysR family transcriptional regulator
chromosome	NZ_CP060508.1	7250	8443	-			H9L34_RS00030	WP_023197151.1	397	MULTISPECIES: mandelate racemase/muconate lactonizing enzyme family protein
chromosome	NZ_CP060508.1	8457	9719	-			H9L34_RS00035	WP_000061262.1	420	MULTISPECIES: MFS transporter
chromosome	NZ_CP060508.1	10025	10870	+		yidA	H9L34_RS00040	WP_000985570.1	281	MULTISPECIES: sugar-phosphatase
chromosome	NZ_CP060508.1	11131	11820	+		dgoR	H9L34_RS00045	WP_000174317.1	229	MULTISPECIES: D-galactonate utilization transcriptional regulator DgoR
chromosome	NZ_CP060508.1	11817	12695	+			H9L34_RS00050	WP_001533869.1	292	MULTISPECIES: 2-dehydro-3-deoxygalactonokinase
chromosome	NZ_CP060508.1	12679	13296	+			H9L34_RS00055	WP_001636174.1	205	MULTISPECIES: 2-dehydro-3-deoxy-6-phosphogalactonate aldolase
chromosome	NZ_CP060508.1	13293	14441	+		dgoD	H9L34_RS00060	WP_000704735.1	382	MULTISPECIES: galactonate dehydratase
chromosome	NZ_CP060508.1	14526	15863	+			H9L34_RS00065	WP_000253524.1	445	MULTISPECIES: MFS transporter
chromosome	NZ_CP060508.1	15889	18624	-		torS	H9L34_RS00070	WP_023214831.1	911	MULTISPECIES: TMAO reductase system sensor histidine kinase/response regulator TorS
