#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP046277.1	4610356	622	+		invC	FOC18_RS00005	WP_000856766.1	431	MULTISPECIES: SctN family type III secretion system ATPase InvC
chromosome	NZ_CP046277.1	600	1043	+		spaM	FOC18_RS00010	WP_000555884.1	147	MULTISPECIES: SPI-1 type III secretion system protein SpaM
chromosome	NZ_CP046277.1	1043	2053	+		spaN	FOC18_RS00015	WP_111761361.1	336	SPI-1 type III secretion system protein SpaN
chromosome	NZ_CP046277.1	2053	2964	+		spaO	FOC18_RS00020	WP_000058735.1	303	SPI-1 type III secretion system protein SpaO
chromosome	NZ_CP046277.1	2954	3628	+		spaP	FOC18_RS00025	WP_000526016.1	224	MULTISPECIES: SPI-1 type III secretion system export apparatus protein SpaP
chromosome	NZ_CP046277.1	3654	3914	+		spaQ	FOC18_RS00030	WP_000342503.1	86	MULTISPECIES: SPI-1 type III secretion system export apparatus protein SpaQ
chromosome	NZ_CP046277.1	3918	4709	+		spaR	FOC18_RS00035	WP_000498965.1	263	MULTISPECIES: SPI-1 type III secretion system export apparatus protein SpaR
chromosome	NZ_CP046277.1	4696	5766	+		spaS	FOC18_RS00040	WP_000097719.1	356	MULTISPECIES: SPI-1 type III secretion system export apparatus protein SpaS
chromosome	NZ_CP046277.1	5904	6401	+		sicA	FOC18_RS00045	WP_000386309.1	165	MULTISPECIES: SycD/LcrH family type III secretion system chaperone SicA
chromosome	NZ_CP046277.1	6404	8185	+		sipB	FOC18_RS00050	WP_000245782.1	593	MULTISPECIES: SPI-1 type III secretion system needle tip complex protein SipB
chromosome	NZ_CP046277.1	8213	9442	+		sipC	FOC18_RS00055	WP_023212175.1	409	SPI-1 type III secretion system needle tip complex protein SipC
chromosome	NZ_CP046277.1	9513	10535	+		sipD	FOC18_RS00060	WP_000932250.1	340	MULTISPECIES: SPI-1 type III secretion system needle tip complex protein SipD
chromosome	NZ_CP046277.1	10554	12611	+		sipA	FOC18_RS00065	WP_111761362.1	685	SPI-1 type III secretion system effector SipA
chromosome	NZ_CP046277.1	12630	12878	+			FOC18_RS00070	WP_001055579.1	82	MULTISPECIES: acyl carrier protein
chromosome	NZ_CP046277.1	12922	13182	+			FOC18_RS00075	WP_000692251.1	86	MULTISPECIES: hypothetical protein
chromosome	NZ_CP046277.1	13209	13601	+		sicP	FOC18_RS00080	WP_001147854.1	130	MULTISPECIES: chaperone SicP
chromosome	NZ_CP046277.1	13588	15219	+		sptP	FOC18_RS00085	WP_031602003.1	543	SPI-1 type III secretion system effector GTPase-activating protein SptP
